Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
43,0.05,0.05,0.218,0.4,0.0652196738714144,0.04618128470101687,0.21922190400428676,0.29860330595976536,-1.103,-0.141,1.516,0.17,-0.462,0.065,-0.868,0.969,0.599,-0.515,-14.58,5.432,-1.837,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.215,0.319,0.05,0.293,0.1246687873227368,0.16288757139406854,0.1189054940277622,0.26252399290855216,-1.067,-0.116,1.497,0.077,-0.333,0.167,-0.925,1.097,0.722,-0.562,-6.57,9.203,-1.669,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.4,0.4,0.05,0.083,0.23374853841998944,0.2505808272426604,0.0747235207151105,0.15255615006243045,-1.016,-0.085,1.477,0.064,-0.171,0.053,-0.982,1.366,0.842,-0.531,6.684,8.155,-0.952,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.4,0.4,0.05,0.05,0.281789327734537,0.28920258168215285,0.05526503650323134,0.08954397379588706,-0.969,-0.057,1.46,0.105,-0.101,-0.188,-0.971,1.56,0.964,-0.584,15.575,3.442,0.221,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.4,0.371,0.105,0.05,0.30294745146490326,0.29311782163994804,0.07140926380395027,0.06179214156243565,-0.913,-0.021,1.435,0.117,-0.1,-0.495,-0.855,1.697,1.092,-0.738,18.708,-1.796,-0.431,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.329,0.109,0.296,0.05,0.28069638468028046,0.1778834777273011,0.1640054580920854,0.04956969995311522,-0.853,0.022,1.409,0.088,-0.137,-0.624,-0.764,1.819,1.331,-0.808,9.634,-4.233,-0.528,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.081,0.05,0.281,0.4,0.1597072066547383,0.10069860183330268,0.19778470412526067,0.20067184541749683,-0.789,0.08,1.383,0.021,-0.183,-0.564,-0.805,1.904,1.703,-0.77,-4.178,-3.747,-0.773,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.262,0.05,0.394,0.32,0.1875397419162536,0.06670493908585931,0.26304417419652787,0.23151447599430133,-0.723,0.147,1.356,0.073,0.195,0.317,0.925,2.023,2.009,-0.818,-14.543,-0.367,-1.078,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.05,0.05,0.247,0.4,0.1049513665782482,0.05173340020102454,0.22644334710767028,0.2808054377479002,-0.659,0.217,1.326,0.142,0.088,-0.017,0.986,1.96,2.107,-0.954,-20.747,4.009,-1.303,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.05,0.4,0.4,0.4,0.06857785415429705,0.20162638875656574,0.2785720153040742,0.3025141273673672,-0.596,0.287,1.288,0.175,-0.069,-0.272,0.944,1.919,2.139,-1.115,-16.559,6.654,-0.839,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.219,0.4,0.362,0.358,0.12812127239740817,0.26764214810466574,0.28447727488741803,0.29338633779498124,-0.535,0.356,1.25,0.206,-0.211,-0.372,0.88,1.85,2.042,-1.109,-8.235,7.48,-0.07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.4,0.25,0.07,0.05,0.23526907935519933,0.22950809627661073,0.15637029191781654,0.15156824586819273,-0.479,0.419,1.218,0.255,-0.239,-0.317,0.882,1.724,1.926,-0.985,2.698,3.388,-1.126,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.4,0.4,0.05,0.05,0.28245903783925813,0.27992178990045435,0.09122373949919371,0.08928451187851033,-0.43,0.477,1.192,0.348,-0.14,-0.116,0.92,1.514,1.776,-0.788,13.717,-0.476,-2.904,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.4,0.4,0.05,0.05,0.3032423773718109,0.3021249045647641,0.06253202514564365,0.0616780278661919,-0.381,0.532,1.169,0.397,0.031,0.15,0.905,1.499,1.703,-0.746,18.183,-3.042,-1.918,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.259,0.215,0.05,0.05,0.24939728792532442,0.2291096639602575,0.04989575205205897,0.04952294202520748,-0.334,0.586,1.143,0.414,0.167,0.295,0.845,1.468,1.658,-0.776,11.535,-4.228,-1.579,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.052,0.05,0.4,0.312,0.1333099156396833,0.12325956033121728,0.20081705311965015,0.16136368767193793,-0.283,0.64,1.124,0.465,0.202,0.251,0.825,1.59,1.69,-0.577,-1.145,-4.484,-2.023,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.05,0.05,0.4,0.4,0.08106750654774456,0.07664113575304568,0.2672857014045706,0.24990967891888782,-0.229,0.695,1.111,0.549,0.125,0.011,0.826,1.641,1.673,-0.429,-14.504,-4.439,-2.296,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.05,0.05,0.4,0.4,0.058059002345197716,0.056109501786917884,0.2965597694961218,0.2889070172238456,-0.18,0.747,1.091,0.577,-0.049,-0.327,0.747,1.532,1.622,-0.654,-22.714,-3.298,-1.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
