Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
50,-0.187,-0.194,0.18,-0.021,0.036,0.025,0.892,0.999,0.038,0.038,-0.004,0.029,-0.021,0.187,0.849,1.293,-0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.057,-0.017,0.138,0.004,0.038,0.025,0.908,0.999,0.019,0.033,-0.001,0.063,-0.008,0.47,-1.017,-0.381,0.088,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.141,0.093,0.096,0.023,0.04,0.024,0.926,1.0,-0.002,0.018,0.004,0.083,-0.017,0.603,-1.421,-0.97,0.261,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.159,0.182,0.048,0.03,0.043,0.024,0.946,1.0,-0.02,-0.005,0.008,0.116,-0.022,0.703,-1.238,-1.49,0.319,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,-0.07,0.012,0.057,-0.012,0.049,0.022,0.967,1.0,-0.001,0.004,0.004,0.162,-0.054,0.627,0.988,0.421,-0.244,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-0.142,-0.071,0.085,-0.021,0.053,0.021,0.979,1.0,0.018,0.021,-0.001,0.157,-0.046,0.398,1.154,0.948,-0.285,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-0.158,-0.142,0.115,-0.01,0.059,0.019,0.984,0.999,0.031,0.041,-0.003,0.163,-0.04,0.166,0.725,1.031,-0.093,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.045,-0.027,0.172,0.012,0.064,0.019,0.984,0.999,0.013,0.037,-0.001,0.17,-0.016,-0.006,-1.153,-0.417,0.214,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.165,0.065,0.23,0.01,0.068,0.019,0.977,1.0,-0.008,0.025,0.002,0.166,-0.01,-0.203,-1.353,-0.754,0.124,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.184,0.181,0.258,0.016,0.073,0.018,0.964,1.0,-0.022,0.007,0.005,0.15,-0.014,-0.382,-0.87,-0.95,0.19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.047,0.063,0.301,-0.01,0.078,0.017,0.95,1.0,-0.005,0.013,0.002,0.166,-0.033,-0.461,0.902,0.31,-0.14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.1685393258426937,0.0,0.0,9.992007221626409e-14
61,-0.195,-0.068,0.352,-0.013,0.085,0.016,0.933,1.0,0.016,0.025,-0.001,0.206,-0.04,-0.529,1.162,0.74,-0.147,0.016853932584269662,0.0,1.0056179775280898,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
62,-0.2,-0.199,0.308,-0.021,0.093,0.014,0.915,0.998,0.036,0.047,-0.005,0.236,-0.043,-0.482,0.876,0.967,-0.192,0.033707865168539325,0.0,1.0112359550561798,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
63,-0.004,-0.103,0.338,0.002,0.101,0.014,0.906,0.999,0.018,0.044,-0.002,0.257,-0.019,-0.353,-0.913,-0.116,0.102,0.05056179775280899,0.0,1.0168539325842696,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
64,0.199,0.01,0.317,0.016,0.112,0.013,0.903,1.0,-0.008,0.026,0.003,0.385,-0.031,-0.107,-1.707,-0.956,0.225,0.06741573033707865,0.0,1.0224719101123596,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
65,0.179,0.144,0.244,0.016,0.123,0.013,0.908,1.0,-0.024,0.006,0.007,0.352,-0.008,0.144,-0.741,-1.03,0.158,0.08426966292134831,0.0,1.0280898876404494,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
66,-0.093,0.032,0.21,0.0,0.136,0.012,0.922,1.0,-0.005,0.005,0.005,0.384,-0.027,0.405,1.141,-0.033,-0.072,0.10112359550561797,0.0,1.0337078651685394,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
67,-0.174,-0.112,0.145,-0.017,0.149,0.011,0.942,1.0,0.018,0.015,0.001,0.43,-0.019,0.638,1.257,0.767,-0.233,0.11797752808988764,0.0,1.0393258426966292,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
68,-0.139,-0.148,0.098,-0.018,0.163,0.011,0.965,0.999,0.032,0.03,-0.002,0.439,-0.004,0.712,0.716,0.837,-0.208,0.1348314606741573,0.0,1.0449438202247192,1.0,0.0,0.0,0.0,0.5056179775280897,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
69,0.087,-0.016,0.107,0.005,0.176,0.012,0.986,1.0,0.01,0.022,0.001,0.424,0.025,0.709,-1.122,-0.385,0.093,0.15168539325842695,0.0,1.050561797752809,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.1685393258426937,0.0,0.0,0.0
70,0.134,0.074,0.105,0.016,0.191,0.012,1.008,1.0,-0.01,0.004,0.004,0.43,0.012,0.597,-1.042,-0.792,0.17,0.16853932584269662,0.0,1.0561797752808988,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
