step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
171,1760765631.8840497,0.0,0.0,-0.5211183898459091,-0.0,0.0,-0.0,0.394,1.0,-0.0,0.0,-0.0
172,1760765631.8924642,0.0,0.0,-0.5282556502278251,-0.0,0.0,-0.0,0.396,1.0,-0.0,0.0,-0.0
173,1760765631.9006748,0.0,0.0,-0.5590354755201288,-0.0,0.0,-0.0,0.398,1.0,-0.0,0.0,-0.0
174,1760765631.9090261,0.0,0.0,-0.5536947155326735,-0.0,0.0,-0.0,0.4,1.0,-0.0,0.0,-0.0
175,1760765631.9173698,0.0,0.0,-0.5719965204556061,-0.0,0.0,-0.0,0.402,1.0,-0.0,0.0,-0.0
176,1760765631.9257267,0.0,0.0,-0.5443266713861179,-0.0,0.0,-0.0,0.404,1.0,-0.0,0.0,-0.0
177,1760765631.934155,0.0,0.0,-0.5416128630553723,-0.0,0.0,-0.0,0.406,1.0,-0.0,0.0,-0.0
178,1760765631.9424176,0.0,0.0,-0.545466433866401,-0.0,0.0,-0.0,0.408,1.0,-0.0,0.0,-0.0
179,1760765631.9507682,0.0,0.0,-0.5519469563341397,-0.0,0.0,-0.0,0.41,1.0,-0.0,0.0,-0.0
180,1760765631.9594846,0.0,0.0,-0.5295310105780711,-0.0,0.0,-0.0,0.412,1.0,-0.0,0.0,-0.0
181,1760765631.967433,0.0,0.0,-0.5386384847025194,-0.0,0.0,-0.0,0.414,1.0,-0.0,0.0,-0.0
182,1760765631.9758277,0.0,0.0,-0.5569402896254518,-0.0,0.0,-0.0,0.416,1.0,-0.0,0.0,-0.0
183,1760765631.9841359,0.0,0.0,-0.5384647713544479,-0.0,0.0,-0.0,0.418,1.0,-0.0,0.0,-0.0
184,1760765631.9925241,0.0,0.0,-0.5830360928444779,-0.0,0.0,-0.0,0.42,1.0,-0.0,0.0,-0.0
185,1760765632.002574,0.0,0.0,-0.5336829469752312,-0.0,0.0,-0.0,0.42,1.0,-0.0,0.0,-0.0
186,1760765632.008999,0.0,0.0,-0.5493687458733569,-0.0,0.0,-0.0,0.424,1.0,-0.0,0.0,-0.0
187,1760765632.0173357,0.0,0.0,-0.5381173446583047,-0.0,0.0,-0.0,0.426,1.0,-0.0,0.0,-0.0
188,1760765632.025679,0.0,0.0,-0.5324427428978091,-0.0,0.0,-0.0,0.427,1.0,-0.0,0.0,-0.0
189,1760765632.0339956,0.0,0.0,-0.5382665274513704,-0.0,0.0,-0.0,0.429,1.0,-0.0,0.0,-0.0
190,1760765632.0423234,0.0,0.0,-0.5463943675205041,-0.0,0.0,-0.0,0.432,1.0,-0.0,0.0,-0.0
191,1760765632.050674,0.0,0.0,-0.544337297103936,-0.0,0.0,-0.0,0.434,1.0,-0.0,0.0,-0.0
192,1760765632.0590146,0.0,0.0,-0.5403100129448356,-0.0,0.0,-0.0,0.436,1.0,-0.0,0.0,-0.0
193,1760765632.067334,0.0,0.0,-0.5582779760947278,-0.0,0.0,-0.0,0.437,1.0,-0.0,0.0,-0.0
194,1760765632.0756726,0.0,0.0,-0.5601613331632243,-0.0,0.0,-0.0,0.439,1.0,-0.0,0.0,-0.0
195,1760765632.0840156,0.0,0.0,-0.5410290769780428,-0.0,0.0,-0.0,0.441,1.0,-0.0,0.0,-0.0
196,1760765632.0923347,0.0,0.0,-0.5468528615316041,-0.0,0.0,-0.0,0.443,1.0,-0.0,0.0,-0.0
197,1760765632.1006594,0.0,0.0,-0.546443108716431,-0.0,0.0,-0.0,0.446,1.0,-0.0,0.0,-0.0
198,1760765632.1090086,0.0,0.0,-0.5407685069559355,-0.0,0.0,-0.0,0.447,1.0,-0.0,0.0,-0.0
199,1760765632.1173427,0.0,0.0,-0.547249029423674,-0.0,0.0,-0.0,0.449,1.0,-0.0,0.0,-0.0
200,1760765632.1256769,0.0,0.0,-0.5182657045258312,-0.0,0.0,-0.0,0.451,1.0,-0.0,0.0,-0.0
201,1760765632.1340024,0.0,0.0,-0.5451051023330702,-0.0,0.0,-0.0,0.453,1.0,-0.0,0.0,-0.0
202,1760765632.1423237,0.0,0.0,-0.5496154110582765,-0.0,0.0,-0.0,0.455,1.0,-0.0,0.0,-0.0
203,1760765632.1506727,0.0,0.0,-0.5587228851827248,-0.0,0.0,-0.0,0.457,1.0,-0.0,0.0,-0.0
204,1760765632.1590023,0.0,0.0,-0.5455012702251403,-0.0,0.0,-0.0,0.459,1.0,-0.0,0.0,-0.0
205,1760765632.1673434,0.0,0.0,-0.5631463372338954,-0.0,0.0,-0.0,0.461,1.0,-0.0,0.0,-0.0
206,1760765632.175761,0.0,0.0,-0.5394169156494719,-0.0,0.0,-0.0,0.463,1.0,-0.0,0.0,-0.0
207,1760765632.1843061,0.0,0.0,-0.5235683490351775,-0.0,0.0,-0.0,0.465,1.0,-0.0,0.0,-0.0
208,1760765632.1957617,0.0,0.0,-0.5175599055016418,-0.0,0.0,-0.0,0.465,1.0,-0.0,0.0,-0.0
209,1760765632.2039583,0.0,0.0,-0.6005449221551006,-0.0,0.0,-0.0,0.466,1.0,-0.0,0.0,-0.0
210,1760765632.2089772,0.0,0.0,-0.509505337183441,-0.0,0.0,-0.0,0.469,1.0,-0.0,0.0,-0.0
211,1760765632.2173193,0.0,0.0,-0.5593415076187934,-0.0,0.0,-0.0,0.473,1.0,-0.0,0.0,-0.0
212,1760765632.2256794,0.0,0.0,-0.5480901064037411,-0.0,0.0,-0.0,0.475,1.0,-0.0,0.0,-0.0
213,1760765632.234147,0.0,0.0,-0.5640988014430042,-0.0,0.0,-0.0,0.478,1.0,-0.0,0.0,-0.0
214,1760765632.2423258,0.0,0.0,-0.5482502348287097,-0.0,0.0,-0.0,0.48,1.0,-0.0,0.0,-0.0
