Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
86,0.032,-0.012,-1.3,0.002,0.112,0.046,1.096,1.0,0.001,-0.012,-0.003,0.011,-0.0,1.083,-0.259,-0.045,0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.008,-0.014,-1.272,0.003,0.112,0.046,1.128,1.0,0.001,-0.012,-0.003,0.003,-0.006,0.977,0.005,0.042,0.062,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,-0.028,-0.029,-1.207,-0.008,0.113,0.045,1.153,1.0,0.008,-0.014,-0.005,-0.0,-0.019,0.78,0.278,0.284,-0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,-0.02,0.003,-1.126,-0.008,0.113,0.045,1.17,1.0,0.012,-0.018,-0.006,0.007,-0.013,0.515,0.102,-0.051,-0.093,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.028,-0.006,-1.046,0.005,0.113,0.045,1.177,1.0,0.008,-0.017,-0.005,0.003,-0.009,0.242,-0.406,0.076,0.114,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.027,0.008,-0.897,0.005,0.113,0.044,1.176,1.0,0.005,-0.02,-0.004,0.0,-0.009,-0.041,-0.313,-0.008,0.105,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.03,0.047,-0.719,-0.001,0.113,0.044,1.164,1.0,0.002,-0.024,-0.004,0.004,-0.014,-0.324,-0.278,-0.32,0.012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,-0.008,0.008,-0.506,-0.002,0.113,0.043,1.144,1.0,0.004,-0.018,-0.004,-0.004,-0.029,-0.603,0.038,0.054,-0.006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,-0.103,-0.013,-0.272,-0.021,0.113,0.042,1.115,1.0,0.016,-0.017,-0.008,0.001,-0.015,-0.874,0.747,0.245,-0.286,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,-0.052,-0.017,-0.094,-0.01,0.114,0.041,1.081,1.0,0.013,-0.011,-0.006,0.004,-0.02,-1.025,0.21,0.103,-0.116,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.01,-0.007,-0.028,-0.002,0.113,0.041,1.047,1.0,0.007,-0.011,-0.005,-0.011,-0.013,-1.03,-0.216,0.048,-0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.096,0.009,-0.093,0.007,0.114,0.041,1.02,1.0,-0.007,-0.015,-0.002,0.001,-0.006,-0.824,-0.631,-0.041,0.128,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.049,0.003,-0.336,-0.0,0.114,0.041,1.008,1.0,-0.008,-0.016,-0.001,-0.0,0.004,-0.387,-0.154,0.004,0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,-0.011,0.038,-0.757,-0.002,0.114,0.042,1.016,1.0,-0.001,-0.02,-0.001,-0.002,0.03,0.225,0.363,-0.32,-0.011,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-0.062,-0.027,-1.147,-0.009,0.114,0.043,1.047,1.0,0.013,-0.015,-0.003,-0.003,0.035,0.874,0.687,0.172,-0.116,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.003,-0.035,-1.3,-0.004,0.113,0.045,1.089,1.0,0.012,-0.012,-0.004,-0.005,0.049,1.232,0.073,0.265,-0.033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
