Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
52,0.025,-0.241,0.409,-0.009,0.036,0.019,0.979,0.999,-0.011,0.032,-0.004,-0.015,-0.091,-1.141,-0.02,1.921,-0.093,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-0.077,-0.34,0.389,-0.011,0.036,0.017,0.942,0.998,-0.004,0.057,-0.006,0.008,-0.079,-1.098,0.495,1.404,-0.104,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,-0.074,-0.143,0.388,-0.008,0.038,0.014,0.911,0.998,0.003,0.057,-0.007,0.055,-0.083,-1.033,0.128,-0.243,-0.041,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.034,0.367,0.405,0.004,0.04,0.013,0.891,1.0,-0.003,0.015,-0.006,0.077,-0.047,-0.638,-0.326,-2.243,0.111,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.127,0.313,0.25,0.005,0.045,0.012,0.884,1.0,-0.013,-0.01,-0.004,0.135,-0.03,-0.225,-0.54,-1.362,0.094,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.1,0.109,0.2,-0.0,0.051,0.011,0.892,1.0,-0.017,-0.009,-0.003,0.17,-0.011,0.205,-0.206,0.301,0.033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-0.068,-0.303,0.158,-0.015,0.058,0.012,0.912,0.999,-0.001,0.035,-0.006,0.227,0.003,0.589,0.737,2.269,-0.146,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-0.098,-0.17,0.073,-0.013,0.066,0.012,0.938,0.999,0.013,0.052,-0.008,0.24,0.018,0.759,0.81,1.033,-0.074,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.057,-0.046,0.063,-0.008,0.075,0.013,0.964,0.999,0.018,0.05,-0.009,0.249,0.019,0.758,0.334,-0.143,0.029,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.1685393258426937,0.0,0.0,9.992007221626409e-14
61,0.121,0.163,0.043,-0.001,0.083,0.014,0.991,1.0,0.001,0.019,-0.006,0.268,0.041,0.808,-0.803,-1.338,0.082,0.016853932584269662,0.0,1.0056179775280898,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
62,0.088,0.058,0.03,0.003,0.094,0.015,1.014,1.0,-0.005,0.015,-0.004,0.294,0.032,0.699,-0.414,-0.357,0.1,0.033707865168539325,0.0,1.0112359550561798,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
63,0.024,-0.036,0.06,-0.0,0.104,0.016,1.031,1.0,-0.002,0.022,-0.003,0.317,0.024,0.519,0.168,0.355,0.041,0.05056179775280899,0.0,1.0168539325842696,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
64,-0.106,-0.181,0.093,-0.009,0.115,0.016,1.042,0.999,0.014,0.043,-0.005,0.332,0.011,0.34,0.903,1.08,-0.058,0.06741573033707865,0.0,1.0224719101123596,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
65,-0.105,-0.11,0.127,-0.017,0.127,0.017,1.047,0.999,0.023,0.045,-0.008,0.328,0.018,0.141,0.562,0.201,-0.126,0.08426966292134831,0.0,1.0280898876404494,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
66,0.016,-0.049,0.191,-0.001,0.137,0.017,1.043,0.999,0.019,0.036,-0.007,0.405,0.032,-0.136,-0.494,-0.648,0.115,0.10112359550561797,0.0,1.0337078651685394,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
67,0.147,0.116,0.25,0.006,0.148,0.019,1.034,1.0,0.001,0.016,-0.005,0.328,0.039,-0.279,-0.949,-0.939,0.171,0.11797752808988764,0.0,1.0393258426966292,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
68,0.118,0.102,0.278,0.004,0.159,0.02,1.019,1.0,-0.007,0.007,-0.003,0.339,0.028,-0.441,-0.368,-0.428,0.111,0.1348314606741573,0.0,1.0449438202247192,1.0,0.0,0.0,0.0,0.5056179775280897,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
69,-0.016,0.07,0.324,-0.002,0.171,0.02,1.0,1.0,0.002,0.005,-0.003,0.353,0.018,-0.527,0.413,-0.069,0.032,0.15168539325842695,0.0,1.050561797752809,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.1685393258426937,0.0,0.0,0.0
70,-0.194,-0.125,0.365,-0.016,0.183,0.02,0.982,1.0,0.021,0.023,-0.005,0.375,0.005,-0.537,0.964,0.723,-0.119,0.16853932584269662,0.0,1.0561797752808988,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
71,-0.122,-0.177,0.343,-0.018,0.197,0.021,0.967,0.999,0.026,0.034,-0.007,0.39,0.01,-0.446,0.234,0.598,-0.105,0.1853932584269663,0.0,1.0617977528089888,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
