Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
52,-0.059,0.016,-0.55,-0.005,0.115,0.039,0.732,1.0,0.016,-0.02,-0.005,0.023,0.005,-0.06,0.332,-0.088,-0.039,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-0.002,-0.0,-0.548,-0.004,0.116,0.039,0.73,1.0,0.014,-0.02,-0.007,0.023,0.003,-0.057,-0.216,0.072,-0.026,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.04,-0.012,-0.546,0.002,0.117,0.039,0.728,1.0,0.006,-0.016,-0.006,0.024,0.011,-0.059,-0.408,0.079,0.067,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.002,-0.0,-0.556,-0.007,0.117,0.039,0.727,1.0,0.004,-0.017,-0.007,0.02,0.0,-0.034,0.003,-0.006,-0.069,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-0.004,-0.011,-0.555,0.002,0.118,0.039,0.726,1.0,0.006,-0.014,-0.006,0.016,0.002,-0.03,0.025,0.033,0.066,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.002,-0.037,-0.561,0.001,0.119,0.039,0.725,1.0,0.007,-0.012,-0.006,0.02,-0.003,-0.014,-0.086,0.234,0.057,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-0.008,0.003,-0.566,-0.003,0.119,0.039,0.725,1.0,0.008,-0.016,-0.006,0.018,0.004,-0.002,0.013,-0.069,-0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-0.006,0.003,-0.568,0.001,0.12,0.039,0.726,1.0,0.008,-0.016,-0.005,0.02,0.004,0.012,-0.006,-0.082,0.046,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.007,-0.007,-0.569,-0.004,0.12,0.039,0.726,1.0,0.008,-0.016,-0.006,0.014,0.001,0.013,-0.008,0.047,-0.036,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,-0.009,-0.001,-0.569,-0.001,0.121,0.04,0.727,1.0,0.008,-0.016,-0.006,0.013,0.002,0.013,0.023,-0.017,0.018,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,-0.003,0.003,-0.57,-0.006,0.121,0.04,0.727,1.0,0.008,-0.018,-0.008,0.017,0.004,0.017,-0.033,-0.023,-0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-0.051,0.012,-0.57,-0.009,0.122,0.04,0.728,1.0,0.013,-0.019,-0.009,0.011,0.01,0.015,0.364,-0.069,-0.088,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,-0.004,0.011,-0.568,-0.001,0.122,0.04,0.728,1.0,0.009,-0.019,-0.008,0.008,0.004,0.012,-0.048,-0.046,0.029,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.025,0.011,-0.568,0.001,0.122,0.04,0.729,1.0,0.005,-0.02,-0.007,0.009,0.005,0.009,-0.237,-0.02,0.061,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.043,-0.007,-0.566,0.0,0.122,0.04,0.729,1.0,0.0,-0.018,-0.006,0.006,0.006,-0.0,-0.29,0.126,0.036,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.005,-0.007,-0.565,-0.001,0.123,0.041,0.729,1.0,0.004,-0.018,-0.006,0.008,0.007,-0.007,0.003,0.108,0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,-0.047,-0.012,-0.565,-0.005,0.123,0.041,0.729,1.0,0.011,-0.016,-0.007,0.011,0.007,-0.002,0.358,0.096,-0.035,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,-0.025,-0.022,-0.565,-0.002,0.123,0.041,0.728,1.0,0.013,-0.014,-0.007,0.009,0.008,-0.005,0.079,0.155,0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.031,-0.003,-0.56,0.001,0.124,0.042,0.728,1.0,0.007,-0.014,-0.006,0.011,0.017,-0.017,-0.317,-0.053,0.048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.031,-0.011,-0.563,-0.003,0.124,0.043,0.727,1.0,0.003,-0.013,-0.006,0.009,0.019,-0.011,-0.195,0.011,-0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-0.023,-0.043,-0.565,-0.002,0.124,0.043,0.727,1.0,0.006,-0.01,-0.006,0.005,0.012,-0.008,0.271,0.278,0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,-0.041,-0.003,-0.563,-0.004,0.125,0.043,0.726,1.0,0.011,-0.013,-0.006,0.009,0.013,-0.015,0.323,-0.084,-0.034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,-0.008,0.048,-0.558,-0.001,0.125,0.044,0.726,1.0,0.011,-0.019,-0.006,0.004,0.018,-0.02,0.001,-0.434,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
