Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
61,0.019,0.026,-0.401,0.001,0.094,0.053,0.913,0.999,0.003,-0.033,-0.003,0.086,0.01,-0.128,-0.061,-0.022,0.047,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35367618188529193,[-0.11418714]
62,0.006,-0.061,-0.401,0.004,0.096,0.054,0.91,1.0,0.003,-0.026,-0.003,0.078,0.022,-0.094,0.126,0.743,0.089,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3439316946823401,[-0.11744387]
63,-0.006,0.01,-0.418,-0.007,0.099,0.054,0.909,1.0,0.007,-0.027,-0.006,0.07,0.017,-0.038,0.126,0.024,-0.075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32308329614217957,[-0.11977917]
64,-0.012,0.024,-0.43,-0.004,0.101,0.055,0.909,1.0,0.009,-0.028,-0.006,0.074,0.017,0.019,0.152,-0.141,-0.036,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3016640999469069,[-0.12113491]
65,0.001,0.033,-0.448,-0.005,0.103,0.055,0.911,0.999,0.01,-0.031,-0.007,0.046,0.011,0.072,-0.032,-0.081,-0.039,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29141649516391327,[-0.12086647]
66,0.015,-0.008,-0.465,0.001,0.104,0.056,0.916,1.0,0.007,-0.027,-0.006,0.048,0.008,0.117,-0.114,0.248,0.047,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27772953237176945,[-0.11973341]
67,0.001,-0.016,-0.488,0.002,0.105,0.056,0.92,1.0,0.008,-0.023,-0.005,0.033,0.015,0.156,0.042,0.281,0.07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2637841379025164,[-0.11712448]
68,0.026,-0.03,-0.499,0.001,0.106,0.057,0.926,1.0,0.006,-0.018,-0.005,0.034,0.012,0.166,-0.193,0.291,0.046,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2668172434120697,[-0.11475325]
69,0.017,0.043,-0.508,-0.005,0.107,0.058,0.931,1.0,0.008,-0.025,-0.007,0.029,0.019,0.162,-0.119,-0.327,-0.038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2672115584509943,[-0.11189954]
70,-0.01,0.028,-0.505,-0.005,0.108,0.058,0.936,1.0,0.011,-0.024,-0.007,0.015,0.017,0.14,0.094,-0.135,-0.04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2738387075343601,[-0.11010394]
71,0.002,0.039,-0.511,0.007,0.108,0.059,0.94,1.0,0.011,-0.029,-0.006,0.005,-0.003,0.13,-0.102,-0.098,0.148,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26545867137173046,[-0.10699129]
72,0.003,0.037,-0.497,-0.001,0.108,0.06,0.942,1.0,0.012,-0.026,-0.007,0.004,0.023,0.072,-0.049,-0.135,0.032,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30618342316542996,[-0.10560262]
73,-0.007,-0.0,-0.491,-0.004,0.108,0.06,0.944,1.0,0.012,-0.022,-0.007,0.004,0.015,0.042,0.029,0.177,-0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29566725487027146,[-0.10386959]
74,-0.012,-0.065,-0.484,-0.002,0.109,0.06,0.944,1.0,0.013,-0.011,-0.007,0.01,0.005,0.011,0.025,0.582,0.017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30335538151817604,[-0.10265736]
75,-0.002,-0.005,-0.476,-0.005,0.109,0.06,0.943,1.0,0.012,-0.013,-0.008,0.009,0.003,-0.03,-0.072,-0.019,-0.037,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3220401192370087,[-0.1026262]
76,-0.036,-0.016,-0.462,-0.001,0.109,0.06,0.941,1.0,0.016,-0.012,-0.008,0.007,0.005,-0.062,0.202,0.079,0.043,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32287230275309636,[-0.1032598]
77,-0.012,0.043,-0.457,-0.009,0.109,0.061,0.938,1.0,0.013,-0.02,-0.009,-0.006,0.002,-0.065,0.012,-0.304,-0.107,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3104855924311115,[-0.10382949]
78,0.005,0.032,-0.438,-0.003,0.108,0.061,0.935,1.0,0.01,-0.021,-0.008,-0.013,0.01,-0.105,-0.07,-0.122,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35247866885006446,[-0.10606263]
79,0.033,0.008,-0.436,-0.0,0.108,0.061,0.932,1.0,0.005,-0.021,-0.007,-0.007,0.007,-0.093,-0.247,0.112,0.033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.323520037494284,[-0.10784725]
