Throttle,Thrust
0.8000000000000002,0.26266
0.8500000000000002,0.26264
0.8500000000000002,0.26283
0.8500000000000002,0.26484
0.8500000000000002,0.26938
0.8500000000000002,0.27066
0.8500000000000002,0.27015
0.8500000000000002,0.26962
0.8500000000000002,0.26968
0.8500000000000002,0.26997
0.8500000000000002,0.27039
0.8500000000000002,0.27084
0.8500000000000002,0.27058
0.8500000000000002,0.27059
0.8500000000000002,0.27051
0.8500000000000002,0.27007
0.8500000000000002,0.2699
0.8500000000000002,0.27018
0.8500000000000002,0.27043
0.8500000000000002,0.27043
0.8500000000000002,0.27046
0.8500000000000002,0.27036
0.8500000000000002,0.27066
0.8500000000000002,0.27057
0.8500000000000002,0.27063
0.8500000000000002,0.27078
0.8500000000000002,0.27079
0.8500000000000002,0.27071
0.8500000000000002,0.27041
0.8500000000000002,0.27024
0.8500000000000002,0.27071
0.8500000000000002,0.27108
0.9000000000000002,0.27128
0.9000000000000002,0.2714
0.9000000000000002,0.27113
0.9000000000000002,0.27048
0.9000000000000002,0.26995
0.9000000000000002,0.26944
0.9000000000000002,0.26952
0.9000000000000002,0.26967
0.9000000000000002,0.2694
0.9000000000000002,0.26867
0.9000000000000002,0.26845
0.9000000000000002,0.26845
0.9000000000000002,0.26814
0.9000000000000002,0.26785
0.9000000000000002,0.26787
0.9000000000000002,0.26718
0.9000000000000002,0.26668
0.9000000000000002,0.26645
0.9000000000000002,0.26517
0.9000000000000002,0.26439
0.9000000000000002,0.26357
0.9000000000000002,0.262
0.9000000000000002,0.2602
0.9000000000000002,0.25832
0.9000000000000002,0.25675
0.9000000000000002,0.25491
0.9000000000000002,0.25363
0.9000000000000002,0.25378
0.9000000000000002,0.25432
0.9000000000000002,0.2551
0.9500000000000003,0.25636
0.9500000000000003,0.25761
0.9500000000000003,0.25855
0.9500000000000003,0.25967
0.9500000000000003,0.26039
0.9500000000000003,0.26101
0.9500000000000003,0.2609
0.9500000000000003,0.26123
0.9500000000000003,0.26182
0.9500000000000003,0.26191
0.9500000000000003,0.26229
0.9500000000000003,0.26285
0.9500000000000003,0.26305
0.9500000000000003,0.26241
0.9500000000000003,0.26195
0.9500000000000003,0.26179
0.9500000000000003,0.26187
0.9500000000000003,0.26197
0.9500000000000003,0.26212
0.9500000000000003,0.26253
0.9500000000000003,0.26263
0.9500000000000003,0.26235
0.9500000000000003,0.26199
0.9500000000000003,0.26179
0.9500000000000003,0.26149
0.9500000000000003,0.26129
0.9500000000000003,0.2614
0.9500000000000003,0.26165
0.9500000000000003,0.26189
0.9500000000000003,0.26198
0.9500000000000003,0.26178
