Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
58,-0.083,0.022,-0.45,-0.008,0.095,0.047,0.546,1.0,0.018,-0.024,-0.006,0.092,0.037,-0.036,0.62,-0.165,-0.093,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.027,-0.054,-0.452,-0.0,0.098,0.048,0.546,1.0,0.011,-0.016,-0.005,0.079,0.038,-0.015,-0.29,0.405,0.034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.065,-0.012,-0.461,-0.001,0.1,0.049,0.545,1.0,0.001,-0.015,-0.004,0.074,0.037,-0.013,-0.389,-0.045,0.018,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.078,0.006,-0.468,-0.006,0.103,0.051,0.545,1.0,-0.005,-0.017,-0.004,0.068,0.042,-0.003,-0.327,-0.158,-0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,-0.018,-0.024,-0.465,0.004,0.105,0.052,0.546,1.0,0.004,-0.013,-0.002,0.06,0.038,-0.003,0.388,0.044,0.083,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-0.067,-0.0,-0.467,-0.003,0.107,0.053,0.546,1.0,0.014,-0.017,-0.003,0.061,0.046,0.011,0.628,-0.09,-0.033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,-0.018,0.01,-0.461,0.001,0.109,0.054,0.546,1.0,0.016,-0.02,-0.003,0.06,0.029,-0.002,0.008,-0.11,0.023,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.016,-0.019,-0.46,-0.006,0.111,0.055,0.546,1.0,0.013,-0.018,-0.005,0.07,0.044,0.001,-0.195,0.088,-0.074,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.039,0.013,-0.458,-0.006,0.112,0.056,0.545,1.0,0.005,-0.021,-0.005,0.051,0.036,-0.013,-0.226,-0.088,-0.069,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,-0.021,-0.004,-0.457,-0.003,0.114,0.058,0.545,1.0,0.009,-0.018,-0.005,0.051,0.038,-0.013,0.286,-0.009,-0.021,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
