step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761631629.350479,0.0,0.0,0.5999999999690592,7.654622932440541e-08,0.0,0.0,0.2999999999845299,-6.900849852453981e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0015,0.0011,0.0023,0.0
0,1761631629.3847556,0.0,0.0,0.5999999999690592,2.554606710668409e-08,0.0,0.0,0.29999999998452803,-4.7172850751501047e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0029,0.001,0.002,0.0
0,1761631629.4184058,0.0,0.0,0.5999999999690592,-2.8100004035080334e-09,0.0,0.0,0.29999999998452825,-2.707876415485792e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0021,0.0014,0.0024,0.0
0,1761631629.4513648,0.0,0.0,0.5999999999690592,-1.4827775199459014e-08,0.0,0.0,0.29999999998452936,-1.2158274816126382e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0025,0.001,0.0021,0.0
0,1761631629.4856403,0.0,0.0,0.5999999999690592,-1.6921540163024828e-08,0.0,0.0,0.29999999998452986,-2.835153723538768e-08,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0031,0.0011,0.0023,0.0
0,1761631629.5207038,0.0,0.0,0.5999999999690592,-1.4130558147625055e-08,0.0,0.0,0.2999999999845285,1.9449050072485328e-08,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0034,0.0019,0.0027,0.0
0,1761631629.5520663,0.0,0.0,0.5999999999690592,-9.776614149577161e-09,0.0,0.0,0.29999999998452925,3.647416090666641e-08,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0027,0.0011,0.0022,0.0
0,1761631629.595998,0.0,0.0,0.5999999999690592,-5.684647613303474e-09,0.0,0.0,0.2999999999845283,3.603135828794828e-08,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0056,0.0036,0.0075,0.0
0,1761631629.6196868,0.0,0.0,0.5999999999690592,-2.609856636880672e-09,0.0,0.0,0.2999999999845294,2.790558595757628e-08,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0023,0.0019,0.0033,0.0
0,1761631629.6511729,0.0,0.0,0.5999999999690592,-6.651231891726873e-10,0.0,0.0,0.29999999998452964,1.8142406158639505e-08,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0014,0.001,0.0032,0.0
0,1761631629.685159,0.0,0.0,0.5999999999690592,3.4799317280106394e-10,0.0,0.0,0.2999999999845283,9.79860202515117e-09,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0014,0.0011,0.0037,0.0
0,1761631629.7184167,0.0,0.0,0.5999999999690592,7.229332296081318e-10,0.0,0.0,0.29999999998452975,3.9233971544712105e-09,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0023,0.0014,0.0024,0.0
0,1761631629.7517548,0.0,0.0,0.5999999999690592,7.309327897572282e-10,0.0,0.0,0.2999999999845286,4.4146221629503137e-10,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0023,0.0016,0.0023,0.0
0,1761631629.7858639,0.0,0.0,0.5999999999690592,5.73636766651649e-10,0.0,0.0,0.2999999999845282,-1.2074938361771785e-09,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0031,0.0011,0.0024,0.0
0,1761631629.817988,0.0,0.0,0.5999999999690592,3.772883723354336e-10,0.0,0.0,0.29999999998452886,-1.6766655598363293e-09,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0018,0.0011,0.0026,0.0
0,1761631629.8515303,0.0,0.0,0.5999999999690592,2.067471370129997e-10,0.0,0.0,0.29999999998452914,-1.516768167056622e-09,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0018,0.0014,0.0027,0.0
0,1761631629.8866894,0.0,0.0,0.5999999999690592,8.523978926563852e-11,0.0,0.0,0.29999999998452814,-1.111699908967112e-09,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0035,0.0014,0.0026,0.0
0,1761631629.9197152,0.0,0.0,0.5999999999690592,1.2327003342749285e-11,0.0,0.0,0.2999999999845298,-6.865079645960735e-10,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0031,0.0017,0.0025,0.0
0,1761631629.9504235,0.0,0.0,0.5999999999690592,-2.288164908217908e-11,0.0,0.0,0.2999999999845281,-3.45923022577909e-10,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0014,0.0011,0.0023,0.0
